0, 16424, 56, 3964, 79, 244, 6
1, 16380, 204, 4112, 58, 383, 32
2, 16404, 148, 4128, 82, 316, 30
3, 16424, 136, 4124, 94, 296, 37
4, 16388, 152, 4072, 105, 296, 17
5, 16348, 172, 4068, 61, 294, 27
6, 16400, 132, 4096, 72, 281, -14
7, 16404, 240, 4116, 67, 310, 22
8, 16408, 132, 4088, 99, 325, 35
9, 16368, 160, 4080, 70, 339, 65
10, 16336, 96, 4180, 79, 305, 23
11, 16372, 172, 4092, 72, 285, 41
12, 16420, 128, 4096, 93, 381, 52
13, 16408, 212, 4168, 53, 274, 12
14, 16388, 152, 4064, 82, 37, 26
15, 16436, 128, 4084, 91, 323, 31
16, 16420, 160, 4128, 94, 301, 26
17, 16468, 156, 4104, 68, 314, 26
18, 16424, 160, 4084, 114, 343, 12
19, 16432, 176, 4036, 105, 274, 19
20, 16364, 136, 4096, 69, 280, 7
21, 16424, 140, 4088, 111, 319, 35
22, 16360, 132, 4100, 79, 343, 3
23, 16404, 172, 4076, 51, 304, 39
24, 16412, 168, 4116, 96, 307, 1
25, 16380, 152, 4096, 70, 323, 54
26, 16384, 176, 4068, 81, 293, 41
27, 16348, 256, 4016, 82, 251, -8
28, 16372, 168, 3992, 91, 311, 2
29, 16404, 172, 4108, 90, 294, 28
30, 16356, 184, 3988, 107, 320, 39
31, 16408, 164, 4044, 89, 298, 6
32, 16388, 212, 4072, 83, 343, 28
33, 16368, 124, 4108, 67, 268, 5
34, 16392, 120, 4148, 74, 260, 25
35, 16428, 140, 4092, 82, 233, 12
36, 16432, 160, 4084, 73, 289, 35
37, 16376, 124, 4008, 66, 336, 29
38, 16384, 196, 4044, 97, 305, 34
39, 16440, 132, 4072, 87, 310, 28
40, 16388, 196, 4052, 97, 297, -3
41, 16368, 132, 4136, 83, 272, 52
42, 16404, 140, 3996, 62, 289, 16
43, 16360, 180, 4080, 89, 304, 0
44, 16348, 96, 4040, 91, 299, 4
45, 16332, 128, 4228, 77, 341, 27
46, 16348, 124, 4100, 55, 317, -2
47, 16424, 172, 4072, 81, 338, 12
48, 16376, 144, 4144, 53, 293, 1
49, 16380, 132, 4164, 91, 314, 51
50, 16392, 152, 4124, 67, 293, 22
51, 16364, 120, 4032, 89, 368, 49
52, 16404, 208, 4124, 57, 304, 27
53, 16392, 176, 4092, 112, 314, 41
54, 16336, 220, 4100, 69, 320, 17
55, 16352, 160, 4084, 66, 310, 3
56, 16416, 192, 4132, 71, 266, -1
57, 16416, 172, 4108, 69, 288, 24
58, 16344, 148, 4132, 103, 306, -5
59, 16376, 156, 4076, 117, 296, 24
60, 16392, 168, 4088, 87, 346, 30
61, 16428, 168, 4000, 106, 336, 37
62, 16464, 64, 4008, 79, 307, 53
63, 16448, 176, 4016, 113, 311, 31
64, 16344, 180, 4168, 64, 250, 47
65, 16340, 196, 4044, 116, 381, 26
66, 16332, 144, 4136, 78, 355, -1
67, 16412, 140, 4096, 93, 302, 7
68, 16480, 248, 4088, 80, 261, 27
69, 16392, 100, 4088, 97, 268, 30
70, 16368, 140, 4076, 63, 300, 28
71, 16368, 200, 4092, 69, 305, 11
72, 16428, 136, 4032, 83, 348, 45
73, 16392, 152, 3976, 84, 336, 23
74, 16388, 136, 4032, 85, 313, 9
75, 16368, 132, 4056, 92, 307, 26
76, 16412, 116, 4084, 45, 333, -1
77, 16392, 128, 4096, 94, 287, 20
78, 16304, 168, 4164, 72, 276, -5
79, 16404, 164, 4064, 93, 320, 23
80, 16388, 172, 4136, 84, 301, 30
81, 16416, 176, 4012, 94, 284, 14
82, 16400, 112, 4036, 67, 273, 21
83, 16436, 188, 4192, 75, 283, -12
84, 16396, 144, 4020, 109, 298, 30
85, 16388, 132, 4056, 48, 322, 26
